,provider,samples,hit_rate,cost
237,Azure CDN,100000,0.0,273655.36878511374
238,Azure CDN,100000,0.9,274277.67428522016
239,Azure CDN,100000,1.0,272869.614800831
240,Azure CDN,1000000,0.0,1701183.839355575
241,Azure CDN,1000000,0.9,1706115.9964640527
242,Azure CDN,1000000,1.0,1712940.2405586666
243,Azure CDN,1000000,0.0,1702612.4583833776
244,Azure CDN,1000000,0.9,1702366.615094772
245,Azure CDN,1000000,1.0,1705174.0044219
246,Azure CDN,1000000,0.0,1706343.8935565264
247,Azure CDN,1000000,0.9,1702680.7475917493
248,Azure CDN,1000000,1.0,1699776.2036624625
249,Azure CDN,1000000,0.0,1694734.5290709813
250,Azure CDN,1000000,0.9,1705122.0851535373
251,Azure CDN,1000000,1.0,1704847.7507694857
252,Azure CDN,1000000,0.0,1699800.671749251
253,Azure CDN,1000000,0.9,1696915.5197762335
254,Azure CDN,1000000,1.0,1703538.792046729
255,Azure CDN,1000000,0.0,1697265.0610531038
256,Azure CDN,1000000,0.9,1697423.7725468613
257,Azure CDN,1000000,1.0,1699486.4328500521
258,Azure CDN,1000000,0.0,1705133.2680159914
259,Azure CDN,1000000,0.9,1703946.5479687252
260,Azure CDN,1000000,1.0,1705845.446838092
261,Azure CDN,1000000,0.0,1700612.4802021733
262,Azure CDN,1000000,0.9,1701831.1636937885
263,Azure CDN,1000000,1.0,1701914.7482997463
264,Azure CDN,1000000,0.0,1702249.3806508426
265,Azure CDN,1000000,0.9,1705664.0647713537
266,Azure CDN,1000000,1.0,1705748.6103757266
267,Azure CDN,1000000,0.0,1703807.161440135
268,Azure CDN,1000000,0.9,1705582.5156204756
269,Azure CDN,1000000,1.0,1704139.072947634
270,Azure CDN,10000000,0.0,16015134.5041143
271,Azure CDN,10000000,0.9,15991523.92502675
272,Azure CDN,10000000,1.0,15988043.217864865
273,Azure CDN,10000000,0.0,16004942.552574672
274,Azure CDN,10000000,0.9,16015438.290473644
275,Azure CDN,10000000,1.0,15997462.725424513
276,Azure CDN,10000000,0.0,16004255.643640835
277,Azure CDN,10000000,0.9,16000858.731736533
278,Azure CDN,10000000,1.0,15997481.202254144
279,Azure CDN,10000000,0.0,15995159.520637792
280,Azure CDN,10000000,0.9,15996611.096335365
281,Azure CDN,10000000,1.0,16016064.67089172
282,Azure CDN,10000000,0.0,16008740.983244726
283,Azure CDN,10000000,0.9,16014423.3785317
284,Azure CDN,10000000,1.0,16024916.05166855
285,Azure CDN,10000000,0.0,16002184.59016236
286,Azure CDN,10000000,0.9,16003824.316978713
287,Azure CDN,10000000,1.0,16003721.570721962
288,Azure CDN,10000000,0.0,15993732.379806168
